# Goxel 0.10.6
# One line per voxel
# X Y Z RRGGBB
2 7 2 ffffff
3 7 2 ffffff
4 7 2 ffffff
5 7 2 ffffff
6 7 2 ffffff
7 7 2 ffffff
8 7 2 c400bc
0 8 2 920088
1 8 2 c400bc
2 8 2 c400bc
3 8 2 c400bc
4 8 2 cdd300
5 8 2 c400bc
6 8 2 c400bc
7 8 2 c400bc
8 8 2 920088
0 0 3 920088
1 0 3 c400bc
2 0 3 c400bc
3 0 3 c400bc
4 0 3 c400bc
5 0 3 c400bc
6 0 3 c400bc
7 0 3 c400bc
8 0 3 920088
0 1 3 c400bc
1 1 3 ffffff
2 1 3 c400bc
3 1 3 c400bc
4 1 3 ffffff
5 1 3 ffffff
6 1 3 ffffff
7 1 3 ffffff
8 1 3 c400bc
0 2 3 c400bc
1 2 3 c400bc
2 2 3 c400bc
3 2 3 ffffff
4 2 3 ffffff
5 2 3 ffffff
6 2 3 ffffff
7 2 3 ffffff
8 2 3 c400bc
0 3 3 c400bc
1 3 3 ffffff
2 3 3 ffffff
3 3 3 ffffff
4 3 3 ffffff
5 3 3 ffffff
6 3 3 ffffff
7 3 3 ffffff
8 3 3 c400bc
0 4 3 c400bc
1 4 3 ffffff
2 4 3 ffffff
3 4 3 ffffff
4 4 3 ffffff
5 4 3 ffffff
6 4 3 ffffff
7 4 3 ffffff
8 4 3 c400bc
0 5 3 c400bc
1 5 3 ffffff
2 5 3 ffffff
3 5 3 ffffff
4 5 3 ffffff
5 5 3 ffffff
6 5 3 ffffff
7 5 3 ffffff
8 5 3 c400bc
0 6 3 c400bc
1 6 3 ffffff
2 6 3 ffffff
3 6 3 ffffff
4 6 3 ffffff
5 6 3 ffffff
6 6 3 ffffff
7 6 3 ffffff
8 6 3 c400bc
0 7 3 c400bc
1 7 3 ffffff
2 7 3 ffffff
3 7 3 ffffff
4 7 3 ffffff
5 7 3 ffffff
6 7 3 ffffff
7 7 3 ffffff
8 7 3 c400bc
0 8 3 920088
1 8 3 c400bc
2 8 3 c400bc
3 8 3 c400bc
4 8 3 c400bc
5 8 3 c400bc
6 8 3 c400bc
7 8 3 c400bc
8 8 3 920088
0 0 4 920088
1 0 4 c400bc
2 0 4 c400bc
3 0 4 c400bc
4 0 4 cdd300
5 0 4 cdd300
6 0 4 c400bc
7 0 4 c400bc
8 0 4 920088
0 1 4 c400bc
1 1 4 c400bc
2 1 4 c400bc
3 1 4 ffffff
4 1 4 ffffff
5 1 4 ffffff
6 1 4 ffffff
7 1 4 ffffff
8 1 4 c400bc
0 2 4 c400bc
1 2 4 c400bc
2 2 4 ffffff
3 2 4 ffffff
4 2 4 ffffff
5 2 4 ffffff
6 2 4 ffffff
7 2 4 ffffff
8 2 4 c400bc
0 3 4 cdd300
1 3 4 ffffff
2 3 4 ffffff
3 3 4 ffffff
4 3 4 ffffff
5 3 4 ffffff
6 3 4 ffffff
7 3 4 ffffff
8 3 4 c400bc
0 4 4 cdd300
1 4 4 ffffff
2 4 4 ffffff
3 4 4 ffffff
4 4 4 ffffff
5 4 4 ffffff
6 4 4 ffffff
7 4 4 ffffff
8 4 4 cdd300
0 5 4 c400bc
1 5 4 ffffff
2 5 4 ffffff
3 5 4 ffffff
4 5 4 ffffff
5 5 4 ffffff
6 5 4 ffffff
7 5 4 ffffff
8 5 4 cdd300
0 6 4 c400bc
1 6 4 ffffff
2 6 4 ffffff
3 6 4 ffffff
4 6 4 ffffff
5 6 4 ffffff
6 6 4 ffffff
7 6 4 ffffff
8 6 4 c400bc
0 7 4 c400bc
1 7 4 ffffff
2 7 4 ffffff
3 7 4 ffffff
4 7 4 ffffff
5 7 4 ffffff
6 7 4 ffffff
7 7 4 ffffff
8 7 4 c400bc
0 8 4 920088
1 8 4 c400bc
2 8 4 c400bc
3 8 4 cdd300
4 8 4 cdd300
5 8 4 c400bc
6 8 4 c400bc
7 8 4 c400bc
8 8 4 920088
0 0 5 920088
1 0 5 c400bc
2 0 5 cdd300
3 0 5 c400bc
4 0 5 c400bc
5 0 5 c400bc
6 0 5 cdd300
7 0 5 c400bc
8 0 5 920088
0 1 5 c400bc
1 1 5 c400bc
2 1 5 ffffff
3 1 5 ffffff
4 1 5 ffffff
5 1 5 ffffff
6 1 5 ffffff
7 1 5 ffffff
8 1 5 c400bc
0 2 5 cdd300
1 2 5 ffffff
2 2 5 ffffff
3 2 5 ffffff
4 2 5 ffffff
5 2 5 ffffff
6 2 5 ffffff
7 2 5 ffffff
8 2 5 cdd300
0 3 5 c400bc
1 3 5 ffffff
2 3 5 ffffff
3 3 5 ffffff
4 3 5 ffffff
5 3 5 ffffff
6 3 5 ffffff
7 3 5 ffffff
8 3 5 c400bc
0 4 5 c400bc
1 4 5 ffffff
2 4 5 ffffff
3 4 5 ffffff
4 4 5 ffffff
5 4 5 ffffff
6 4 5 ffffff
7 4 5 ffffff
8 4 5 c400bc
0 5 5 c400bc
1 5 5 ffffff
2 5 5 ffffff
3 5 5 ffffff
4 5 5 ffffff
5 5 5 ffffff
6 5 5 ffffff
7 5 5 ffffff
8 5 5 c400bc
0 6 5 cdd300
1 6 5 ffffff
2 6 5 ffffff
3 6 5 ffffff
4 6 5 ffffff
5 6 5 ffffff
6 6 5 ffffff
7 6 5 ffffff
8 6 5 cdd300
0 7 5 c400bc
1 7 5 ffffff
2 7 5 ffffff
3 7 5 ffffff
4 7 5 ffffff
5 7 5 ffffff
6 7 5 ffffff
7 7 5 ffffff
8 7 5 c400bc
0 8 5 920088
1 8 5 c400bc
2 8 5 cdd300
3 8 5 c400bc
4 8 5 c400bc
5 8 5 c400bc
6 8 5 cdd300
7 8 5 c400bc
8 8 5 920088
0 0 6 920088
1 0 6 c400bc
2 0 6 c400bc
3 0 6 cdd300
4 0 6 cdd300
5 0 6 cdd300
6 0 6 c400bc
7 0 6 c400bc
8 0 6 920088
0 1 6 c400bc
1 1 6 c400bc
2 1 6 c400bc
3 1 6 c400bc
4 1 6 ffffff
5 1 6 ffffff
6 1 6 c400bc
7 1 6 c400bc
8 1 6 c400bc
0 2 6 c400bc
1 2 6 c400bc
2 2 6 ffffff
3 2 6 ffffff
4 2 6 ffffff
5 2 6 ffffff
6 2 6 ffffff
7 2 6 ffffff
8 2 6 c400bc
0 3 6 cdd300
1 3 6 ffffff
2 3 6 ffffff
3 3 6 ffffff
4 3 6 ffffff
5 3 6 ffffff
6 3 6 ffffff
7 3 6 ffffff
8 3 6 cdd300
0 4 6 cdd300
1 4 6 ffffff
2 4 6 ffffff
3 4 6 ffffff
4 4 6 ffffff
5 4 6 ffffff
6 4 6 ffffff
7 4 6 ffffff
8 4 6 cdd300
0 5 6 cdd300
1 5 6 ffffff
2 5 6 ffffff
3 5 6 ffffff
4 5 6 ffffff
5 5 6 ffffff
6 5 6 ffffff
7 5 6 ffffff
8 5 6 cdd300
0 6 6 c400bc
1 6 6 ffffff
2 6 6 ffffff
3 6 6 ffffff
4 6 6 ffffff
5 6 6 ffffff
6 6 6 ffffff
7 6 6 ffffff
8 6 6 c400bc
0 7 6 c400bc
1 7 6 ffffff
2 7 6 ffffff
3 7 6 ffffff
4 7 6 ffffff
5 7 6 ffffff
6 7 6 ffffff
7 7 6 ffffff
8 7 6 c400bc
0 8 6 920088
1 8 6 c400bc
2 8 6 c400bc
3 8 6 cdd300
4 8 6 cdd300
5 8 6 cdd300
6 8 6 c400bc
7 8 6 c400bc
8 8 6 920088
0 0 7 920088
1 0 7 c400bc
2 0 7 c400bc
3 0 7 c400bc
4 0 7 c400bc
5 0 7 c400bc
6 0 7 c400bc
7 0 7 c400bc
8 0 7 920088
0 1 7 c400bc
1 1 7 ffffff
2 1 7 c400bc
3 1 7 ffffff
4 1 7 ffffff
5 1 7 ffffff
6 1 7 ffffff
7 1 7 c400bc
8 1 7 c400bc
0 2 7 c400bc
1 2 7 c400bc
2 2 7 c400bc
3 2 7 c400bc
4 2 7 ffffff
5 2 7 c400bc
6 2 7 c400bc
7 2 7 c400bc
8 2 7 c400bc
0 3 7 c400bc
1 3 7 c400bc
2 3 7 ffffff
3 3 7 ffffff
4 3 7 c400bc
5 3 7 c400bc
6 3 7 c400bc
7 3 7 ffffff
8 3 7 c400bc
0 4 7 c400bc
1 4 7 ffffff
2 4 7 ffffff
3 4 7 ffffff
4 4 7 ffffff
5 4 7 ffffff
6 4 7 ffffff
7 4 7 ffffff
8 4 7 c400bc
0 5 7 c400bc
1 5 7 ffffff
2 5 7 ffffff
3 5 7 ffffff
4 5 7 ffffff
5 5 7 ffffff
6 5 7 ffffff
7 5 7 ffffff
8 5 7 c400bc
0 6 7 c400bc
1 6 7 ffffff
2 6 7 ffffff
3 6 7 ffffff
4 6 7 ffffff
5 6 7 ffffff
6 6 7 ffffff
7 6 7 ffffff
8 6 7 c400bc
0 7 7 c400bc
1 7 7 ffffff
2 7 7 ffffff
3 7 7 ffffff
4 7 7 ffffff
5 7 7 ffffff
6 7 7 ffffff
7 7 7 ffffff
8 7 7 c400bc
0 8 7 920088
1 8 7 c400bc
2 8 7 c400bc
3 8 7 c400bc
4 8 7 c400bc
5 8 7 c400bc
6 8 7 c400bc
7 8 7 c400bc
8 8 7 920088
0 0 8 920088
1 0 8 920088
2 0 8 920088
3 0 8 920088
4 0 8 920088
5 0 8 920088
6 0 8 920088
7 0 8 920088
8 0 8 920088
0 1 8 920088
1 1 8 c400bc
2 1 8 c400bc
3 1 8 c400bc
4 1 8 c400bc
5 1 8 c400bc
6 1 8 c400bc
7 1 8 c400bc
8 1 8 920088
0 2 8 920088
1 2 8 c400bc
2 2 8 c400bc
3 2 8 c400bc
4 2 8 cdd300
5 2 8 c400bc
6 2 8 c400bc
7 2 8 c400bc
8 2 8 920088
0 3 8 920088
1 3 8 c400bc
2 3 8 c400bc
3 3 8 c400bc
4 3 8 c400bc
5 3 8 c400bc
6 3 8 c400bc
7 3 8 c400bc
8 3 8 920088
0 4 8 920088
1 4 8 c400bc
2 4 8 c400bc
3 4 8 c400bc
4 4 8 cdd300
5 4 8 cdd300
6 4 8 c400bc
7 4 8 c400bc
8 4 8 920088
0 5 8 920088
1 5 8 c400bc
2 5 8 cdd300
3 5 8 c400bc
4 5 8 c400bc
5 5 8 c400bc
6 5 8 cdd300
7 5 8 c400bc
8 5 8 920088
0 6 8 920088
1 6 8 c400bc
2 6 8 c400bc
3 6 8 cdd300
4 6 8 cdd300
5 6 8 cdd300
6 6 8 c400bc
7 6 8 c400bc
8 6 8 920088
0 7 8 920088
1 7 8 c400bc
2 7 8 c400bc
3 7 8 c400bc
4 7 8 c400bc
5 7 8 c400bc
6 7 8 c400bc
7 7 8 c400bc
8 7 8 920088
0 8 8 920088
1 8 8 920088
2 8 8 920088
3 8 8 920088
4 8 8 920088
5 8 8 920088
6 8 8 920088
7 8 8 920088
8 8 8 920088
